,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
0,0.2992657,-0.045098,-0.0834365,-0.2007523,0.0773447,0.3237464,0.0049735,0.2896043,0.2106872,-0.2534514,0.2328328,0.008285,-0.0575979,-0.1893658,0.0422974,0.1420192,0.1097365,0.2236581,-0.2251587,-0.0513521,0.0139605,0.1560069,0.142448,0.09287,0.1183728,-0.0008656,0.3605899,0.2034647,0.0105993,-0.0731755,0.2592244,0.051814,0.0293446,0.1736586,-0.0506833,0.1363976,0.1100763,0.0638892,-0.0892112,0.1187749,0.0345124,-0.1330668,0.0260621,0.0940317,0.0977467,-0.1672638,-0.2847616,0.1837708,0.1621764,-0.1078653,-0.0505921,-0.0102144,0.070682,-0.0910736,0.2092671,0.1185002,0.0485433,0.2550583,0.194186
1,-0.045098,-0.0834365,-0.2007523,0.0773447,0.3237464,0.0049735,0.2896043,0.2106872,-0.2534514,0.2328328,0.008285,-0.0575979,-0.1893658,0.0422974,0.1420192,0.1097365,0.2236581,-0.2251587,-0.0513521,0.0139605,0.1560069,0.142448,0.09287,0.1183728,-0.0008656,0.3605899,0.2034647,0.0105993,-0.0731755,0.2592244,0.051814,0.0293446,0.1736586,-0.0506833,0.1363976,0.1100763,0.0638892,-0.0892112,0.1187749,0.0345124,-0.1330668,0.0260621,0.0940317,0.0977467,-0.1672638,-0.2847616,0.1837708,0.1621764,-0.1078653,-0.0505921,-0.0102144,0.070682,-0.0910736,0.2092671,0.1185002,0.0485433,0.2550583,0.194186,-0.0239389
2,-0.0834365,-0.2007523,0.0773447,0.3237464,0.0049735,0.2896043,0.2106872,-0.2534514,0.2328328,0.008285,-0.0575979,-0.1893658,0.0422974,0.1420192,0.1097365,0.2236581,-0.2251587,-0.0513521,0.0139605,0.1560069,0.142448,0.09287,0.1183728,-0.0008656,0.3605899,0.2034647,0.0105993,-0.0731755,0.2592244,0.051814,0.0293446,0.1736586,-0.0506833,0.1363976,0.1100763,0.0638892,-0.0892112,0.1187749,0.0345124,-0.1330668,0.0260621,0.0940317,0.0977467,-0.1672638,-0.2847616,0.1837708,0.1621764,-0.1078653,-0.0505921,-0.0102144,0.070682,-0.0910736,0.2092671,0.1185002,0.0485433,0.2550583,0.194186,-0.0239389,0.0920859
3,-0.2007523,0.0773447,0.3237464,0.0049735,0.2896043,0.2106872,-0.2534514,0.2328328,0.008285,-0.0575979,-0.1893658,0.0422974,0.1420192,0.1097365,0.2236581,-0.2251587,-0.0513521,0.0139605,0.1560069,0.142448,0.09287,0.1183728,-0.0008656,0.3605899,0.2034647,0.0105993,-0.0731755,0.2592244,0.051814,0.0293446,0.1736586,-0.0506833,0.1363976,0.1100763,0.0638892,-0.0892112,0.1187749,0.0345124,-0.1330668,0.0260621,0.0940317,0.0977467,-0.1672638,-0.2847616,0.1837708,0.1621764,-0.1078653,-0.0505921,-0.0102144,0.070682,-0.0910736,0.2092671,0.1185002,0.0485433,0.2550583,0.194186,-0.0239389,0.0920859,0.220062
4,0.0773447,0.3237464,0.0049735,0.2896043,0.2106872,-0.2534514,0.2328328,0.008285,-0.0575979,-0.1893658,0.0422974,0.1420192,0.1097365,0.2236581,-0.2251587,-0.0513521,0.0139605,0.1560069,0.142448,0.09287,0.1183728,-0.0008656,0.3605899,0.2034647,0.0105993,-0.0731755,0.2592244,0.051814,0.0293446,0.1736586,-0.0506833,0.1363976,0.1100763,0.0638892,-0.0892112,0.1187749,0.0345124,-0.1330668,0.0260621,0.0940317,0.0977467,-0.1672638,-0.2847616,0.1837708,0.1621764,-0.1078653,-0.0505921,-0.0102144,0.070682,-0.0910736,0.2092671,0.1185002,0.0485433,0.2550583,0.194186,-0.0239389,0.0920859,0.220062,-0.0591126
5,0.3237464,0.0049735,0.2896043,0.2106872,-0.2534514,0.2328328,0.008285,-0.0575979,-0.1893658,0.0422974,0.1420192,0.1097365,0.2236581,-0.2251587,-0.0513521,0.0139605,0.1560069,0.142448,0.09287,0.1183728,-0.0008656,0.3605899,0.2034647,0.0105993,-0.0731755,0.2592244,0.051814,0.0293446,0.1736586,-0.0506833,0.1363976,0.1100763,0.0638892,-0.0892112,0.1187749,0.0345124,-0.1330668,0.0260621,0.0940317,0.0977467,-0.1672638,-0.2847616,0.1837708,0.1621764,-0.1078653,-0.0505921,-0.0102144,0.070682,-0.0910736,0.2092671,0.1185002,0.0485433,0.2550583,0.194186,-0.0239389,0.0920859,0.220062,-0.0591126,0.2183522
6,0.0049735,0.2896043,0.2106872,-0.2534514,0.2328328,0.008285,-0.0575979,-0.1893658,0.0422974,0.1420192,0.1097365,0.2236581,-0.2251587,-0.0513521,0.0139605,0.1560069,0.142448,0.09287,0.1183728,-0.0008656,0.3605899,0.2034647,0.0105993,-0.0731755,0.2592244,0.051814,0.0293446,0.1736586,-0.0506833,0.1363976,0.1100763,0.0638892,-0.0892112,0.1187749,0.0345124,-0.1330668,0.0260621,0.0940317,0.0977467,-0.1672638,-0.2847616,0.1837708,0.1621764,-0.1078653,-0.0505921,-0.0102144,0.070682,-0.0910736,0.2092671,0.1185002,0.0485433,0.2550583,0.194186,-0.0239389,0.0920859,0.220062,-0.0591126,0.2183522,0.0524385
7,0.2896043,0.2106872,-0.2534514,0.2328328,0.008285,-0.0575979,-0.1893658,0.0422974,0.1420192,0.1097365,0.2236581,-0.2251587,-0.0513521,0.0139605,0.1560069,0.142448,0.09287,0.1183728,-0.0008656,0.3605899,0.2034647,0.0105993,-0.0731755,0.2592244,0.051814,0.0293446,0.1736586,-0.0506833,0.1363976,0.1100763,0.0638892,-0.0892112,0.1187749,0.0345124,-0.1330668,0.0260621,0.0940317,0.0977467,-0.1672638,-0.2847616,0.1837708,0.1621764,-0.1078653,-0.0505921,-0.0102144,0.070682,-0.0910736,0.2092671,0.1185002,0.0485433,0.2550583,0.194186,-0.0239389,0.0920859,0.220062,-0.0591126,0.2183522,0.0524385,0.0870559
8,0.2106872,-0.2534514,0.2328328,0.008285,-0.0575979,-0.1893658,0.0422974,0.1420192,0.1097365,0.2236581,-0.2251587,-0.0513521,0.0139605,0.1560069,0.142448,0.09287,0.1183728,-0.0008656,0.3605899,0.2034647,0.0105993,-0.0731755,0.2592244,0.051814,0.0293446,0.1736586,-0.0506833,0.1363976,0.1100763,0.0638892,-0.0892112,0.1187749,0.0345124,-0.1330668,0.0260621,0.0940317,0.0977467,-0.1672638,-0.2847616,0.1837708,0.1621764,-0.1078653,-0.0505921,-0.0102144,0.070682,-0.0910736,0.2092671,0.1185002,0.0485433,0.2550583,0.194186,-0.0239389,0.0920859,0.220062,-0.0591126,0.2183522,0.0524385,0.0870559,-0.046244
9,-0.2534514,0.2328328,0.008285,-0.0575979,-0.1893658,0.0422974,0.1420192,0.1097365,0.2236581,-0.2251587,-0.0513521,0.0139605,0.1560069,0.142448,0.09287,0.1183728,-0.0008656,0.3605899,0.2034647,0.0105993,-0.0731755,0.2592244,0.051814,0.0293446,0.1736586,-0.0506833,0.1363976,0.1100763,0.0638892,-0.0892112,0.1187749,0.0345124,-0.1330668,0.0260621,0.0940317,0.0977467,-0.1672638,-0.2847616,0.1837708,0.1621764,-0.1078653,-0.0505921,-0.0102144,0.070682,-0.0910736,0.2092671,0.1185002,0.0485433,0.2550583,0.194186,-0.0239389,0.0920859,0.220062,-0.0591126,0.2183522,0.0524385,0.0870559,-0.046244,0.2985959
